3260,6,0
2770,6,0
3319,7,27
2335,7,30
1882,7,34
2418,7,40
1375,7,47
934,0,0
3281,0,26
4036,0,42
3633,1,2
1427,1,19
4511,1,30
4126,1,32
3493,1,41
2920,2,19
2901,2,32
3285,3,7
698,3,15
3462,3,36
4494,4,13
4170,4,26
3918,4,29
132,4,33
3212,4,44
3354,6,0
758,6,11
814,6,11
124,6,47
947,7,9
3884,7,34
1611,0,0
4477,0,1
3981,0,12
1518,0,22
2815,0,46
3582,1,1
749,2,7
13,3,46
1396,4,19
3345,4,19
1079,4,39
2579,4,41
1237,4,44
3828,4,49
3183,5,32
3480,6,0
1963,6,36
4055,7,33
904,7,46
3961,0,12
4318,0,23
2069,0,26
4203,0,41
3548,0,43
2057,1,40
307,1,41
2044,1,43
593,2,12
3004,2,38
177,2,40
4214,3,28
3117,3,32
71,3,32
4995,4,8
1712,4,19
1150,4,41
2150,5,13
3042,6,30
3682,6,33
3672,6,36
4051,7,1
4206,7,29
331,0,35
1829,0,37
4241,0,43
4421,0,50
2628,1,31
266,1,41
1182,2,8
3300,2,9
909,2,9
117,2,9
3394,2,38
3346,2,40
4620,4,13
2394,4,27
3775,4,28
4814,4,29
4950,5,3
2565,5,34
3122,6,11
3706,6,41
2889,0,23
3789,0,46
4275,1,19
2007,1,22
1693,2,4
2388,2,4
3431,2,28
1731,2,52
1025,4,21
4165,4,25
4691,4,25
4660,5,19
1274,5,34
1898,5,52
4835,6,7
3957,6,33
3114,6,40
257,0,30
2047,0,30
4677,0,35
3304,0,50
2352,0,52
564,1,51
4557,2,5
3039,2,13
4333,2,14
3691,2,17
3246,2,22
3078,3,11
3810,3,25
3398,3,41
3061,4,8
329,4,19
3919,4,19
261,4,36
2240,5,33
502,6,24
2745,7,33
1044,7,42
2309,0,43
2530,1,22
3054,1,26
3838,1,47
4925,1,47
4625,2,10
3144,2,19
2023,2,36
3583,2,40
704,3,32
233,4,25
1320,4,28
3842,5,21
519,5,31
4309,5,42
2751,6,38
3463,7,34
2703,0,24
1727,0,29
3435,1,37
299,1,49
2444,2,23
3402,2,31
2732,2,48
4245,3,32
3313,4,8
1376,5,31
210,6,38
1336,6,48
644,0,23
1707,1,37
4859,2,9
2951,2,10
2913,2,24
1363,2,38
3521,2,50
3077,3,45
2906,3,48
3434,4,8
479,4,19
4260,4,25
4128,4,52
4667,6,19
231,6,45
2114,6,48
1854,6,49
3793,7,32
3338,0,19
795,1,25
752,2,27
4115,2,28
1676,2,34
1154,2,56
3878,3,26
23,4,8
2419,4,8
2220,4,35
3383,5,19
647,5,32
1894,5,38
2536,6,32
2972,6,48
2093,7,16
3429,7,27
4539,7,36
1356,0,24
1644,0,41
1447,0,55
3056,0,57
4590,1,35
4448,1,36
1073,1,37
954,1,48
3138,2,18
2100,2,24
4612,2,26
3673,2,45
3465,2,57
689,4,31
3470,4,33
69,4,35
3318,5,47
3832,6,27
3536,6,44
1208,6,49
3293,6,49
957,7,16
4312,7,34
3127,0,16
3728,0,22
4359,0,24
3645,1,37
2166,1,41
195,1,43
3923,2,12
35,2,23
4847,2,30
3382,2,32
2262,2,38
3032,3,16
1917,3,24
4532,3,31
1680,3,46
1996,3,46
1002,3,46
1213,4,10
1512,4,27
4858,4,38
1525,4,43
2459,5,13
270,6,15
1027,6,24
1562,6,48
2502,6,48
3133,6,49
1016,6,49
3007,0,28
1782,1,17
3045,1,48
3474,2,28
839,2,38
3735,3,12
3282,3,26
235,3,30
1790,4,18
2450,4,18
2277,6,23
280,7,26
2571,7,27
823,0,16
1190,0,22
3689,2,17
3740,2,19
2501,2,23
663,2,40
3024,2,47
2130,3,31
1473,3,37
522,3,38
2821,4,36
2472,4,41
2829,5,53
978,5,54
1066,6,32
3555,6,49
3210,6,59
4540,7,22
1930,7,46
4529,0,19
716,0,21
863,0,48
673,0,49
2517,1,36
1370,2,17
3325,4,33
1114,4,40
3197,4,48
2123,4,50
78,5,31
4690,6,41
220,6,48
3722,6,62
2146,7,40
4841,0,30
3491,0,34
3115,0,54
4213,1,18
3531,1,22
3401,1,28
3471,1,56
1326,3,20
2438,4,55
1535,4,59
2471,6,43
3940,6,59
291,7,43
4778,0,19
4412,0,29
2514,0,45
4011,1,24
1001,1,28
3167,1,44
4317,1,61
3130,2,20
3697,2,38
4604,2,51
4381,3,32
292,4,49
787,5,42
3365,5,47
1049,5,63
3063,0,21
1330,1,31
655,1,40
1803,1,41
2647,1,49
982,2,17
1203,2,23
1372,3,20
4528,4,18
1660,4,29
1993,4,50
281,4,54
1416,5,31
3513,5,31
4664,6,49
3639,7,41
1099,7,58
966,2,25
1549,2,38
2213,2,54
2509,3,47
3255,3,48
2728,4,19
4114,4,63
3717,5,30
798,5,33
2615,6,27
1864,6,47
556,7,26
1409,7,44
1417,0,45
3036,1,22
4112,1,45
199,2,21
4190,3,62
786,4,21
2535,4,28
3087,4,29
3236,5,33
2872,5,36
168,6,60
1501,7,48
4928,7,51
3269,0,43
534,0,50
651,0,50
3194,0,54
54,0,64
4644,1,36
702,1,37
3616,1,51
2380,2,23
1408,2,42
2102,2,48
1306,2,60
2097,3,62
4065,4,30
413,4,35
4531,6,48
4888,0,28
1235,0,32
1922,1,43
2049,1,52
1166,1,65
3079,2,21
4593,4,42
4573,4,48
3898,4,52
2022,4,66
2939,6,45
4479,7,44
791,7,50
617,0,45
2101,0,48
558,0,50
4366,1,37
4546,1,49
3464,1,54
1619,2,44
2499,2,62
3461,3,46
4416,4,33
2185,4,48
3256,4,48
566,4,50
2430,4,66
633,4,70
1223,5,31
4867,6,24
3797,6,27
3870,6,31
4299,6,38
170,6,49
2187,6,60
2488,7,34
3944,7,34
4770,0,30
3712,0,46
1478,0,70
1391,1,22
874,1,40
4684,1,59
4305,2,40
3574,3,69
1054,4,28
1497,4,71
1658,5,42
759,6,48
3416,6,60
3511,7,42
2507,7,46
4560,7,54
3196,0,52
1245,1,25
2630,1,26
2333,1,32
2370,1,32
1844,1,41
3064,1,47
11,1,64
4084,2,53
289,2,69
1780,4,29
4954,4,35
1530,4,36
2516,4,50
1897,5,28
3268,5,58
2593,5,68
979,5,68
1005,6,27
1423,6,45
1254,7,26
3835,7,45
1684,1,60
3914,2,41
1067,2,42
1441,2,44
3286,2,46
2622,3,36
820,3,51
2794,4,24
2778,4,33
3443,4,67
3022,4,72
3408,5,67
3862,7,27
2180,7,51
3605,7,58
2298,7,72
144,0,26
3629,0,26
4854,0,37
4654,1,35
3026,1,60
2713,1,63
565,1,65
3240,2,32
853,2,42
1995,2,47
1400,2,53
3912,2,58
2152,4,46
1637,4,57
3974,5,26
342,5,35
2382,6,32
4139,6,51
1503,0,30
780,0,30
1953,0,43
3958,1,44
581,1,70
4487,1,73
4670,2,38
4674,2,58
2592,3,32
994,3,57
3696,4,34
2098,4,46
4874,4,60
4715,4,60
1913,5,33
4427,6,36
2851,6,48
3329,6,48
4766,6,49
3251,7,45
3692,7,74
4645,0,42
1155,0,63
3892,1,46
3723,1,75
1165,2,28
3876,2,49
2241,2,63
1631,2,67
3990,3,30
2222,3,50
1779,3,76
1792,4,28
2019,4,47
31,6,39
3844,6,48
3482,6,53
2340,6,66
1449,7,71
1313,0,69
4207,0,69
3647,1,59
1861,2,32
4091,2,42
3450,3,68
2279,4,42
2318,4,51
1810,4,57
3738,4,66
2421,5,47
1599,5,55
4565,6,50
2236,6,56
19,7,40
1766,7,68
4382,7,77
4274,0,30
1214,0,30
2448,0,44
175,0,48
2070,0,76
2080,1,37
4800,1,41
3010,1,49
264,2,34
1626,2,38
1019,2,71
4832,3,60
2682,4,41
3859,4,42
3523,5,46
1227,6,33
3576,6,46
4182,6,50
2088,7,38
1288,7,45
3598,7,51
1519,0,36
4919,0,41
2405,0,42
461,1,40
1265,1,73
2259,2,46
3993,2,77
2537,4,32
428,4,43
724,4,53
3327,4,70
3014,4,74
4857,5,73
3947,6,35
1546,6,39
3253,7,37
4574,7,40
3009,7,66
386,0,43
3943,1,47
1239,1,49
4161,2,44
360,2,52
2520,2,54
4917,3,34
1490,3,46
2626,3,48
3988,3,50
4535,5,36
2847,5,55
2879,0,35
835,0,37
2375,0,41
1874,0,50
100,0,63
4181,2,36
2861,2,38
4827,2,55
1174,2,73
1159,4,41
423,4,44
3927,4,45
4507,4,46
216,4,48
4791,5,46
1574,6,51
2925,6,71
2773,7,80
703,0,59
2789,1,45
3904,1,47
282,2,40
2612,2,42
2990,2,47
91,3,40
3455,3,55
3110,4,53
666,6,35
1808,6,46
1348,7,39
3131,0,50
2528,1,35
1136,1,38
1679,1,39
2743,2,45
4759,4,35
3649,4,41
1425,5,53
4348,6,34
4228,6,38
3349,6,63
2787,6,72
2691,7,45
726,7,49
2361,1,37
713,4,43
1224,4,49
1263,4,83
3248,6,43
4335,0,39
4634,0,42
2989,0,79
4289,0,81
4647,1,53
2155,2,40
4714,3,50
1907,3,79
4057,4,42
2763,4,73
1915,4,73
4380,4,78
3879,4,85
3360,6,37
1688,7,45
1672,7,45
4047,0,51
3941,0,53
2865,1,40
4001,1,55
172,3,65
4446,4,50
4869,5,37
3348,6,46
1961,6,47
2249,6,50
1793,7,59
1946,0,47
416,0,78
14,1,48
3377,2,40
512,4,75
3218,6,41
